time,day,ID_old,IO,antenna,ID,dep_time,g,density,a,b,c,int
230.67143518518517,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.6726736111111,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.67287037037036,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.67318287037037,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.67321759259258,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.67346064814814,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.67425925925926,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.67450231481482,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.67769675925925,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.67792824074073,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.67877314814814,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.67914351851852,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.6791550925926,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.67946759259257,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.6795486111111,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.6798032407407,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.67988425925927,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68033564814814,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68082175925926,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.6811111111111,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68134259259256,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.6816898148148,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.68195601851852,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.68197916666665,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.6820023148148,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68224537037037,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68238425925927,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.6829398148148,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.68313657407407,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68317129629628,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.6832638888889,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.6837037037037,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.68398148148148,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68399305555556,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68422453703704,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.6845949074074,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68483796296294,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.6848611111111,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.6849074074074,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68509259259258,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.6851273148148,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.68513888888887,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68519675925924,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68543981481483,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68547453703704,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.68569444444444,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.6859375,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68616898148147,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68625,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.6866087962963,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68666666666667,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68677083333333,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.6868287037037,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.6869097222222,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.6869097222222,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68706018518517,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.68715277777775,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68751157407408,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.6875347222222,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.68777777777777,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.68791666666667,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.68804398148148,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68815972222222,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68834490740738,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.68840277777778,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68854166666665,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.6885648148148,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
