ID,antenna,bin,duration,min_dist,max_dist
2,6,228.291666666667,0.024803240741022137,60,119
2,6,228.333333333333,0.005104166666654919,60,119
2,6,228.375,0.005011574074103464,60,119
2,6,228.416666666667,0.012222222222192158,60,119
2,6,228.458333333333,9.490740740716319e-4,60,119
2,6,228.5,0.01140046296288233,60,119
2,6,228.541666666667,0.0035300925925128013,60,119
2,6,228.583333333333,0.001087962962913025,60,119
2,8,228.583333333333,4.6296296295622597e-4,105,166
2,9,228.583333333333,0.0012499999999988631,146,206
2,9,232.333333333333,0.005243055555382625,146,206
2,9,232.375,0.006620370370342243,146,206
2,9,232.416666666667,5.324074074053442e-4,146,206
2,10,228.583333333333,0.01009259259254236,152,218
2,10,228.625,0.027037037037018763,152,218
2,10,228.666666666667,0.07961805555564183,152,218
2,10,228.75,0.02468749999994202,152,218
2,10,228.791666666667,0.015173611111123364,152,218
2,10,228.833333333333,0.03353009259271289,152,218
2,10,228.875,0.07755787037041273,152,218
2,10,228.916666666667,0.2855902777777999,152,218
2,10,229.208333333333,0.0035648148147515712,152,218
2,10,229.25,4.7453703703581596e-4,152,218
2,10,229.291666666667,0.0892013888889096,152,218
2,10,229.375,0.004560185185141563,152,218
2,10,229.416666666667,0.09603009259262762,152,218
2,10,229.5,0.013564814814884585,152,218
2,10,229.541666666667,0.03826388888887777,152,218
2,10,229.583333333333,0.018796296296386572,152,218
2,10,229.625,0.001388888888953943,152,218
2,10,229.666666666667,0.03439814814802844,152,218
2,10,229.708333333333,0.022407407407371238,152,218
2,10,229.75,0.009537037037148366,152,218
2,10,229.791666666667,0.03519675925917909,152,218
2,10,229.833333333333,0.0024074074073610063,152,218
2,10,230.125,7.291666666446872e-4,152,218
2,10,230.166666666667,0.03843750000007162,152,218
2,10,230.208333333333,0.026122685185242744,152,218
2,10,230.25,2.3148148147811298e-4,152,218
2,10,230.416666666667,0.06546296296295395,152,218
2,10,230.458333333333,2.314814815065347e-4,152,218
2,10,230.5,0.015127314814776582,152,218
2,10,230.541666666667,0.022916666666873198,152,218
2,10,230.583333333333,0.007673611111243872,152,218
2,10,230.625,0.0017245370369778357,152,218
2,10,230.666666666667,2.3148148147811298e-4,152,218
2,10,230.75,2.4305555555770297e-4,152,218
2,10,230.791666666667,0.016643518518606015,152,218
2,10,230.833333333333,0.01055555555572596,152,218
2,10,230.875,0.003912037037025584,152,218
2,10,230.916666666667,2.3148148147811298e-4,152,218
2,10,230.958333333333,0.0030787037036361653,152,218
2,10,231,0.025995370370196724,152,218
2,10,231.041666666667,0.03273148148181804,152,218
2,10,231.083333333333,0.024305555555201863,152,218
2,10,231.125,0.029710648147840857,152,218
2,10,231.166666666667,0.03215277777789538,152,218
2,10,231.208333333333,0.02306712962959523,152,218
2,10,231.25,0.020879629629774854,152,218
2,10,231.291666666667,0.020486111110869842,152,218
2,10,231.333333333333,0.028657407407592927,152,218
2,10,231.375,0.016574074073929523,152,218
2,10,231.416666666667,0.003692129629627061,152,218
2,10,231.458333333333,0.005543981481423543,152,218
2,10,231.5,0.009074074073879501,152,218
2,10,231.541666666667,0.018379629629578176,152,218
2,10,231.583333333333,0.03459490740721094,152,218
2,10,231.625,0.016354166666616266,152,218
2,10,231.666666666667,5.902777777748724e-4,152,218
2,10,231.833333333333,3.7037037034792775e-4,152,218
